row_index,zero_proportion,zero_count,total_count
1305,0,0,307
1306,0,0,307
1307,0,0,307
1308,0.003257328990228013,1,307
1309,0.08469055374592833,26,307
1310,0,0,307
1311,0.7687296416938111,236,307
1312,0.6026058631921825,185,307
1313,0.5960912052117264,183,307
1314,0,0,307
1315,0,0,307
1316,0,0,307
1317,0.019543973941368076,6,307
1318,0,0,307
1319,0,0,307
1320,0,0,307
1321,0.36156351791530944,111,307
1322,0,0,307
1323,0,0,307
1324,0,0,307
1325,0.12052117263843648,37,307
1326,0.003257328990228013,1,307
1327,0,0,307
1328,0.10749185667752444,33,307
1329,0,0,307
1330,0,0,307
1331,0,0,307
1332,0.006514657980456026,2,307
1333,0,0,307
1334,0,0,307
1335,0,0,307
1336,0,0,307
1337,0,0,307
1338,0,0,307
1339,0.6254071661237784,192,307
1340,0,0,307
1341,0,0,307
1342,0,0,307
1343,0,0,307
1344,0,0,307
1345,0.5798045602605864,178,307
1346,0,0,307
1347,0,0,307
1348,0,0,307
1349,0,0,307
1350,0,0,307
1351,0,0,307
1352,0,0,307
1353,0,0,307
1354,0,0,307
1355,0,0,307
1356,0,0,307
1357,0,0,307
1358,0.18566775244299674,57,307
1359,0,0,307
1360,0,0,307
1361,0,0,307
1362,0,0,307
1363,0,0,307
1364,0,0,307
1365,0,0,307
1366,0,0,307
1367,0,0,307
1368,0,0,307
