gene,log2FC,pval,mean_high,mean_low,padj
PCGF6,-0.33811121167519076,6.09698470809769e-06,6.764974623809947,7.103085835485138,0.00014661330162189936
DCTN2,-0.3381005446677001,1.312114949521844e-09,11.049152816414194,11.387253361081894,3.228701484693272e-07
C6orf170,-0.3380710116846348,0.0009577631937201033,6.384333735295049,6.7224047469796835,0.00593661154202699
MIF,-0.33789221208970943,0.0018993895543494676,13.799163829174075,14.137056041263785,0.009952956407461926
C11orf31,-0.33785159359178785,0.00038531300612442164,10.12052383448343,10.458375428075218,0.0029705482957137277
C19orf42,-0.3378450227851193,0.00021368432639448372,10.261802003908924,10.599647026694043,0.0019077592221789816
RNPS1,-0.33776698883005807,1.5114394077531696e-06,11.641788785254754,11.979555774084812,5.313108822205516e-05
EPB41L1,0.33775613622271194,0.00011340587699565176,11.30796983626171,10.970213700038999,0.0012004182489527948
ACOX3,0.33750344400216736,3.50775963306792e-05,7.902697075541532,7.565193631539365,0.0005122754982829191
ARL3,-0.3374696625612543,0.00010382981101593139,9.252412853485495,9.58988251604675,0.0011255853320936483
GCSH,-0.3374460719174124,0.0025318121553496867,4.147933133919528,4.48537920583694,0.012275018015262193
FOXD4L2,0.3374298988827724,0.0030147244349368555,1.6907555027768708,1.3533256038940984,0.013971489944471293
C18orf21,-0.33731042340641526,0.00013511073163642733,7.904494886424666,8.241805309831081,0.001368862984988801
CUBN,0.33730441085604035,0.008083308760431836,4.826148861416617,4.488844450560577,0.029238919706733202
FRMD4A,0.33719137466366433,0.00043827238795939505,9.171804685397648,8.834613310733983,0.0032734664885299847
EEF2K,0.33716654756750586,6.468905223791903e-06,10.589260016980045,10.25209346941254,0.00015269506509195
NOTCH3,-0.3371252699972551,0.005506576622867435,12.396560948431203,12.733686218428458,0.021893456369315566
MTM1,0.3369782278201843,0.00011677887685778981,8.997018489290088,8.660040261469904,0.0012303219736049728
MED11,-0.336947116192408,6.09698470809769e-06,7.889851792567803,8.22679890876021,0.00014661330162189936
MEGF8,0.3368788297547667,0.011931277600617877,10.55670040787057,10.219821578115804,0.03910223440889664
RPSA,-0.33685044192352365,0.0014417041318492466,11.675927391593452,12.012777833516976,0.008075251425135023
SLC44A3,0.3368031991025626,0.013603039642583326,7.257328282231871,6.920525083129308,0.04312590912455423
APPL2,-0.3367970311398647,3.647526810239271e-06,9.554524357450948,9.891321388590812,9.942416402477697e-05
RAB11FIP1,0.3366279215122816,0.005039879384325975,10.194267364023192,9.85763944251091,0.02050075937061764
ZBTB39,-0.3365239615300908,9.787541523924186e-05,8.64276608344831,8.9792900449784,0.0010832631447581648
RHBDF1,0.3365146369877774,0.0034496855061170117,8.962744234184562,8.626229597196785,0.015418437607957174
S1PR1,0.33650825082974034,0.0009919737054163169,7.778159089798952,7.4416508389692115,0.006075289352333208
LMAN1,0.3364648485978847,2.809491214290265e-06,11.732975381472832,11.396510532874947,8.341634823520005e-05
FDX1L,-0.33627322256240255,0.0038245505829558137,8.237593949517436,8.573867172079838,0.0166465718734275
FBXW9,-0.33618376334719535,0.0007896184400658691,8.698224587600755,9.03440835094795,0.005126099038273656
NEURL1B,0.33609591366173674,0.004532304352775005,10.057745510739641,9.721649597077905,0.018951066827024538
HCN3,0.33604827635227785,0.002207987226165893,6.968966437462623,6.632918161110345,0.011094286585627396
NSL1,-0.33556667863942735,1.062984671824495e-06,9.429250770951429,9.764817449590856,4.141950902382518e-05
MRAS,0.33555504703294226,0.01609956354579609,9.270815938808251,8.93526089177531,0.049041285394799926
SCIN,0.3354412403310487,0.0006199964892484453,6.512793783727534,6.177352543396485,0.0042703209111847485
C19orf40,-0.3351288213170056,0.0014962136689358231,6.392902799303712,6.728031620620718,0.008338965601952898
CYP46A1,0.3350951353510392,0.015402311034525577,4.17272094239628,3.837625807045241,0.04728622681818201
ARHGEF19,-0.3350559151119672,0.001820376885367776,8.828944336635285,9.164000251747252,0.00963164359112264
MTL5,-0.3349981284320993,0.005567576971533638,8.48647169287947,8.821469821311569,0.022072475201866858
TUSC1,0.3348075583940897,0.00011340587699565176,9.052659120895262,8.717851562501172,0.0012004182489527948
SMCR5,0.3347515224931461,0.0017118329326159865,1.664330413869121,1.329578891375975,0.00921960506774075
ZBTB43,0.3347420564828072,9.572680373781487e-05,8.26626035780459,7.931518301321783,0.0010680376245604773
HLA-E,0.33472266311099297,0.004188438829977154,12.769933049188696,12.435210386077703,0.017828655616796116
ZC3HC1,-0.33469286064696924,6.176320212159428e-08,8.550250837449955,8.884943698096924,5.233266036368859e-06
ERAP1,0.3344899582515186,0.001397684200425417,10.214734066430012,9.880244108178493,0.007885239099322164
